"partNumber","title","price","partsCategory"
"ПЖД30-1015200-03","Агрегат насосный ПЖД30",14568,2869
"4320Я2-1015298","Бачок топливный ПЖД30 в сборе (краны, шланг)",1534,2869
"сб. 1322","Блок управления 24В 14ТС-10",5662,2869
"сб. 203-01","Блок управления 24В Теплостар 14ТС-10 (алюминиевый корпус)",5890,2869
"сб.1322","Блок управления 24В Теплостар 14ТС-10 (пластмассовый корпус), МАЗ, КАМАЗ, грузовые а/м, трактора",5889,2869
"СБ. 1935","Блок управления Бинар 5Д-С, 5Д-СВ",3694,2869
"ПЖД 12 Б-01 М","Блок управления ПЖД 12Б-01М",3608,2869
"сб.203","Блок управления ПЖД ТЕПЛОСТАР 14ТС-10 18.1-18.4 24V АДВЕРС",0,2869
"14ТС-10,сб 287","Блок управления ПЖД ТЕПЛОСТАР 14ТС-10, АДВЕРС",5029,2869
"сб.1395","Блок управления ПЖД ТЕПЛОСТАР 20ТС-Д38-24V АДВЕРС",0,2869
"сб.1263 24В","Блок управления Планар 4ДМ-24, ГРУЗОВЫЕ А/М, ТРАКТОРА,",2578,2869
"сб.287 блок управления 24","Блок управления подогревателем 14ТС-10, ГРУЗОВЫЕ А/М, ТРАКТОРА, Прим. 24в",5740,2869
"сб. 2432","Блок управления сб.2432 (для 14ТС-10-24-GP)",5750,2869
"ПЖД30-1015281","Болт топливопровода (топливного насоса ПЖД30)",41,2869
"ОВ95-0400-10","Вентилятор  ОВ95-0400-10",65,2869
"16-240118-20","Вентилятор центробежный АВГУСТ (24В) 16-240118-20",6180,2869
"ПЖД30-1015100-11","Горелка в сборе",0,2869
"886.01.00.600","Горелочное устройство в сборе",0,2869
"сб.160-01","Датчик температуры (перегрева) 14ТС-10, МАЗ, КАМАЗ, ГРУЗОВЫЕ А/М, ТРАКТОРА,",517,2869
"сб.1316","Индикатор пламени отопителя ПЛАНАР 4Д,44Д АДВЕРС",494,2869
"сб.1326","Индикатор пламени ПЖД ТЕПЛОСТАР 14ТС-10 АДВЕРС",527,2869
"сб.1914","Индикатор пламени ПЖД ТЕПЛОСТАР 14ТС-10 АДВЕРС",930,2869
"4320-101","К-т труб ПЖД30 дв.КамАЗ (8шт)",6150,2869
"4Д-24-812","Камера сгорания к отопителю Планар сб.812",2996,2869
"ПЖД30-1015500-04","Клапан электромагнитный (дозатор) ЭМКТ-24-4",3250,2869
"4320Я-1015631-10","Кожух масляного картера ПЖД-30 (дв.ЯМЗ-236М2,НЕ2)",600,2869
"ПЖД30-1015236","Колесо рабочее",80,2869
"336.1704019","Кольцо уплотнительное",58,2869
"9301.3734010","Коммутатор транзисторный (ТК 107)",1987,2869
"4320Я3-101-01","Комплект патрубков ПЖД ЯМЗ-236НЕ",510,2869
"4320Я2-101-01","Комплект патрубков ПЖД30 (с дв. ЯМЗ-238, комплект из 8 шт.)",550,2869
"4320-101-01","Комплект патрубков ПЖД30 дв. КамАЗ",660,2869
"ПЖД30-1015505-04","Корпус клапана",600,2869
"ПЖД30-1015010-01","Котёл подогрева в сборе (ШААЗ) новый",14600,2869
"4320-1015139","Кронштейн воздухопровода подогревателя",18,2869
"4320-1015534","Кронштейн передний в сборе",0,2869
"14.8106340","",650,2869
"ПЖД30-1015240","Манжета нагнетателя ПЖД30,600",19,2869
"ПЖД30-1015258","Манжета топливного насоса ПЖД30",17,2869
"9301.3734-01","Модуль зажигания пускового подогревателя ПЖД-30 24V",1975,2869
"ПЖД30-1015269","Муфта",40,2869
"ПЖД30Г-1015210","Нагнетатель (НОВЫЙ)",10578,2869
"18ЖД24.8106.110 у","Нагнетатель воздуха 18ЖД24.8106.110 у",10467,2869
"сб. 1454-01","Нагнетатель воздуха 24В для (4Д/4ДМ)",6167,2869
"9010621A","Нагнетатель воздуха Webasto Thermo 90ST 24В",29095,2869
